session_id,label
s_0000000,normal
s_0000001,normal
s_0000002,normal
s_0000003,normal
s_0000004,normal
s_0000005,normal
s_0000006,normal
s_0000007,normal
s_0000008,normal
s_0000009,normal
s_0000010,normal
s_0000011,normal
s_0000012,normal
s_0000013,normal
s_0000014,normal
s_0000015,normal
s_0000016,normal
s_0000017,normal
s_0000018,normal
s_0000019,normal
s_0000020,normal
s_0000021,normal
s_0000022,normal
s_0000023,normal
s_0000024,normal
s_0000025,normal
s_0000026,normal
s_0000027,normal
s_0000028,normal
s_0000029,normal
s_0000030,normal
s_0000031,normal
s_0000032,normal
s_0000033,normal
s_0000034,normal
s_0000035,normal
s_0000036,normal
s_0000037,normal
s_0000038,normal
s_0000039,normal
s_0000040,normal
s_0000041,normal
s_0000042,normal
s_0000043,normal
s_0000044,normal
s_0000045,normal
s_0000046,normal
s_0000047,normal
s_0000048,normal
s_0000049,normal
s_0000050,normal
s_0000051,normal
s_0000052,normal
s_0000053,normal
s_0000054,normal
s_0000055,normal
s_0000056,normal
s_0000057,normal
s_0000058,normal
s_0000059,normal
s_0000060,normal
s_0000061,normal
s_0000062,normal
s_0000063,normal
s_0000064,normal
s_0000065,normal
s_0000066,normal
s_0000067,normal
s_0000068,normal
s_0000069,normal
s_0000070,normal
s_0000071,normal
s_0000072,normal
s_0000073,normal
s_0000074,normal
s_0000075,normal
s_0000076,normal
s_0000077,normal
s_0000078,normal
s_0000079,normal
s_0000080,normal
s_0000081,normal
s_0000082,normal
s_0000083,normal
s_0000084,normal
s_0000085,normal
s_0000086,normal
s_0000087,normal
s_0000088,normal
s_0000089,normal
s_0000090,normal
s_0000091,normal
s_0000092,normal
s_0000093,normal
s_0000094,normal
s_0000095,normal
s_0000096,normal
s_0000097,normal
s_0000098,normal
s_0000099,normal
s_0000100,normal
s_0000101,normal
s_0000102,normal
s_0000103,normal
s_0000104,normal
s_0000105,normal
s_0000106,normal
s_0000107,normal
s_0000108,normal
s_0000109,normal
s_0000110,normal
s_0000111,normal
s_0000112,normal
s_0000113,normal
s_0000114,normal
s_0000115,normal
s_0000116,normal
s_0000117,normal
s_0000118,normal
s_0000119,normal
s_0000120,normal
s_0000121,normal
s_0000122,normal
s_0000123,normal
s_0000124,normal
s_0000125,normal
s_0000126,normal
s_0000127,normal
s_0000128,normal
s_0000129,normal
s_0000130,normal
s_0000131,normal
s_0000132,normal
s_0000133,normal
s_0000134,normal
s_0000135,normal
s_0000136,normal
s_0000137,normal
s_0000138,normal
s_0000139,normal
s_0000140,normal
s_0000141,normal
s_0000142,normal
s_0000143,normal
s_0000144,normal
s_0000145,normal
s_0000146,normal
s_0000147,normal
s_0000148,normal
s_0000149,normal
s_0000150,normal
s_0000151,normal
s_0000152,normal
s_0000153,normal
s_0000154,normal
s_0000155,normal
s_0000156,normal
s_0000157,normal
s_0000158,normal
s_0000159,normal
s_0000160,normal
s_0000161,normal
s_0000162,normal
s_0000163,normal
s_0000164,normal
s_0000165,normal
s_0000166,normal
s_0000167,normal
s_0000168,normal
s_0000169,normal
s_0000170,normal
s_0000171,normal
s_0000172,normal
s_0000173,normal
s_0000174,normal
s_0000175,normal
s_0000176,normal
s_0000177,normal
s_0000178,normal
s_0000179,normal
s_0000180,normal
s_0000181,normal
s_0000182,normal
s_0000183,normal
s_0000184,normal
s_0000185,normal
s_0000186,normal
s_0000187,normal
s_0000188,normal
s_0000189,normal
s_0000190,normal
s_0000191,normal
s_0000192,normal
s_0000193,normal
s_0000194,normal
s_0000195,normal
s_0000196,normal
s_0000197,normal
s_0000198,normal
s_0000199,normal
s_0000200,normal
s_0000201,normal
s_0000202,normal
s_0000203,normal
s_0000204,normal
s_0000205,normal
s_0000206,normal
s_0000207,normal
s_0000208,normal
s_0000209,normal
s_0000210,normal
s_0000211,normal
s_0000212,normal
s_0000213,normal
s_0000214,normal
s_0000215,normal
s_0000216,normal
s_0000217,normal
s_0000218,normal
s_0000219,normal
s_0000220,normal
s_0000221,normal
s_0000222,normal
s_0000223,normal
s_0000224,normal
s_0000225,normal
s_0000226,normal
s_0000227,normal
s_0000228,normal
s_0000229,normal
s_0000230,normal
s_0000231,normal
s_0000232,normal
s_0000233,normal
s_0000234,normal
s_0000235,normal
s_0000236,normal
s_0000237,normal
s_0000238,normal
s_0000239,normal
s_0000240,normal
s_0000241,normal
s_0000242,normal
s_0000243,normal
s_0000244,normal
s_0000245,normal
s_0000246,normal
s_0000247,normal
s_0000248,normal
s_0000249,normal
s_0000250,normal
s_0000251,normal
s_0000252,normal
s_0000253,normal
s_0000254,normal
s_0000255,normal
s_0000256,normal
s_0000257,normal
s_0000258,normal
s_0000259,normal
s_0000260,normal
s_0000261,normal
s_0000262,normal
s_0000263,normal
s_0000264,normal
s_0000265,normal
s_0000266,normal
s_0000267,normal
s_0000268,normal
s_0000269,normal
s_0000270,normal
s_0000271,normal
s_0000272,normal
s_0000273,normal
s_0000274,normal
s_0000275,normal
s_0000276,normal
s_0000277,normal
s_0000278,normal
s_0000279,normal
s_0000280,normal
s_0000281,normal
s_0000282,normal
s_0000283,normal
s_0000284,normal
s_0000285,normal
s_0000286,normal
s_0000287,normal
s_0000288,normal
s_0000289,normal
s_0000290,normal
s_0000291,normal
s_0000292,normal
s_0000293,normal
s_0000294,normal
s_0000295,normal
s_0000296,normal
s_0000297,normal
s_0000298,normal
s_0000299,normal
s_0000300,normal
s_0000301,normal
s_0000302,normal
s_0000303,normal
s_0000304,normal
s_0000305,normal
s_0000306,normal
s_0000307,normal
s_0000308,normal
s_0000309,normal
s_0000310,normal
s_0000311,normal
s_0000312,normal
s_0000313,normal
s_0000314,normal
s_0000315,normal
s_0000316,normal
s_0000317,normal
s_0000318,normal
s_0000319,normal
s_0000320,normal
s_0000321,normal
s_0000322,normal
s_0000323,normal
s_0000324,normal
s_0000325,normal
s_0000326,normal
s_0000327,normal
s_0000328,normal
s_0000329,normal
s_0000330,normal
s_0000331,normal
s_0000332,normal
s_0000333,normal
s_0000334,normal
s_0000335,normal
s_0000336,normal
s_0000337,normal
s_0000338,normal
s_0000339,normal
s_0000340,normal
s_0000341,normal
s_0000342,normal
s_0000343,normal
s_0000344,normal
s_0000345,normal
s_0000346,normal
s_0000347,normal
s_0000348,normal
s_0000349,normal
s_0000350,normal
s_0000351,normal
s_0000352,normal
s_0000353,normal
s_0000354,normal
s_0000355,normal
s_0000356,normal
s_0000357,normal
s_0000358,normal
s_0000359,normal
s_0000360,normal
s_0000361,normal
s_0000362,normal
s_0000363,normal
s_0000364,normal
s_0000365,normal
s_0000366,normal
s_0000367,normal
s_0000368,normal
s_0000369,normal
s_0000370,normal
s_0000371,normal
s_0000372,normal
s_0000373,normal
s_0000374,normal
s_0000375,normal
s_0000376,normal
s_0000377,normal
s_0000378,normal
s_0000379,normal
s_0000380,normal
s_0000381,normal
s_0000382,normal
s_0000383,normal
s_0000384,normal
s_0000385,normal
s_0000386,normal
s_0000387,normal
s_0000388,normal
s_0000389,normal
s_0000390,normal
s_0000391,normal
s_0000392,normal
s_0000393,normal
s_0000394,normal
s_0000395,normal
s_0000396,normal
s_0000397,normal
s_0000398,normal
s_0000399,normal
s_0000400,normal
s_0000401,normal
s_0000402,normal
s_0000403,normal
s_0000404,normal
s_0000405,normal
s_0000406,normal
s_0000407,normal
s_0000408,normal
s_0000409,normal
s_0000410,normal
s_0000411,normal
s_0000412,normal
s_0000413,normal
s_0000414,normal
