entity_id,entity_type,n_obs,confidence,hour_mean,hour_std,duration_mean,duration_std,top_resources,current_device_fingerprint,last_updated
edg_e34aa164,edge_device,1649,1.0,8.54,4.62,30.6,11.77,"file://share/engineering:0.23, file://share/finance:0.23, port:502:0.22, /api/v1/logs:0.19, /api/v1/orders:0.06",macOS 14|7d:7f:30:fa:c3:58|MQTT,2026-07-15 17:59:04.211390
edg_1eb0cf9e,edge_device,391,1.0,5.06,3.88,42.94,27.23,"file://share/hr:0.23, file://share/legal:0.19, file://share/engineering:0.18, port:22:0.14, file://share/exec:0.11",Android 14|12:8e:83:19:42:87|MQTT,2026-07-15 08:36:48.394352
edg_c9dcbfdf,edge_device,851,1.0,5.72,3.95,23.32,16.56,"/api/v1/admin:0.43, /api/v1/logs:0.23, port:22:0.23, port:1883:0.11, /api/v1/auth:0.00",Android 14|c8:7e:72:2a:61:3d|MQTT,2026-07-15 12:39:53.399705
edg_83f59a0b,edge_device,1562,1.0,11.57,3.1,64.77,31.9,"device_fn:write_config:0.21, /api/v1/logs:0.15, file://share/exec:0.14, /api/v1/inventory:0.14, device_fn:read_sensor:0.12",Windows 11|ba:7a:96:08:af:8b|MQTT,2026-07-15 17:24:56.881069
edg_611d993c,edge_device,850,1.0,4.23,2.73,22.22,6.45,"port:8080:0.53, /api/v1/orders:0.23, /api/v1/auth:0.11, port:502:0.07, file://share/engineering:0.03",Android 14|39:6f:25:35:ec:48|MQTT,2026-07-15 08:49:08.833260
edg_afcac521,edge_device,478,1.0,4.18,4.0,79.27,23.08,"/api/v1/admin:0.25, port:1883:0.23, /api/v1/logs:0.19, port:3389:0.16, port:502:0.08",macOS 14|5a:2d:0a:dd:39:93|MQTT,2026-07-15 06:21:37.423332
edg_552b7d11,edge_device,533,1.0,3.96,3.14,52.95,14.38,"/api/v1/inventory:0.23, file://share/hr:0.21, /api/v1/customers:0.21, /api/v1/users:0.19, port:3389:0.09",Ubuntu 22.04|37:6d:73:ac:0d:48|MQTT,2026-07-15 08:10:46.900417
edg_b9346d63,edge_device,709,1.0,5.63,3.64,113.1,41.66,"file://share/engineering:0.29, /api/v1/billing:0.19, port:8080:0.16, port:22:0.13, file://share/finance:0.12",Ubuntu 22.04|8a:49:74:23:35:70|MQTT,2026-07-15 12:58:12.294881
edg_dc522234,edge_device,776,1.0,13.69,5.05,24.05,24.86,"port:1883:0.27, port:8080:0.23, /api/v1/auth:0.16, /api/v1/logs:0.14, file://share/hr:0.09",Windows 11|21:a5:ec:f3:4b:d1|MQTT,2026-07-15 20:10:40.009431
edg_2fbe08d9,edge_device,1271,1.0,22.29,3.75,110.9,56.25,"port:3389:0.26, /api/v1/logs:0.24, /api/v1/users:0.16, /api/v1/inventory:0.15, device_fn:write_config:0.14",Ubuntu 22.04|6f:1f:91:ed:14:65|MQTT,2026-07-15 23:58:48.000000
edg_e5f204e7,edge_device,1757,1.0,11.66,5.45,77.55,50.14,"/api/v1/billing:0.33, file://share/exec:0.19, file://share/public:0.17, port:1883:0.16, /api/v1/logs:0.08",FirmwareOS 3.2|1f:3b:18:11:30:8a|MQTT,2026-07-15 21:46:21.974304
edg_98c17a4e,edge_device,563,1.0,6.19,4.69,325.5,179.02,"/api/v1/customers:0.29, file://share/engineering:0.25, /api/v1/logs:0.22, file://share/public:0.20, port:502:0.04",Windows 11|8d:cc:0c:98:79:c8|MQTT,2026-07-15 13:46:27.729983
edg_e11ea05b,edge_device,869,1.0,16.69,6.08,59.92,39.9,"/api/v1/payments:0.26, file://share/hr:0.26, /api/v1/analytics:0.14, /api/v1/orders:0.12, file://share/finance:0.10",FirmwareOS 3.2|6f:73:46:79:aa:60|MQTT,2026-07-15 23:30:52.972667
edg_a5d186e2,edge_device,670,1.0,18.73,3.97,114.36,32.88,"/api/v1/inventory:0.19, port:3389:0.17, /api/v1/users:0.17, device_fn:reboot:0.14, device_fn:firmware_update:0.11",FirmwareOS 3.2|35:ec:87:70:49:a3|MQTT,2026-07-15 23:58:48.000000
edg_f36cefb8,edge_device,1547,1.0,17.93,4.87,53.48,27.61,"device_fn:reboot:0.29, /api/v1/customers:0.27, file://share/exec:0.18, /api/v1/admin:0.13, file://share/legal:0.13",macOS 14|68:27:12:ab:2d:7a|MQTT,2026-07-15 23:58:48.000000
edg_05dbb1c7,edge_device,452,1.0,5.99,3.22,31.33,10.17,"port:8080:0.22, /api/v1/reports:0.17, /api/v1/analytics:0.13, /api/v1/admin:0.12, port:3389:0.11",Windows 11|af:db:47:09:a8:ad|MQTT,2026-07-15 08:57:06.880746
edg_cb1bb0eb,edge_device,612,1.0,13.4,3.88,70.26,35.09,"/api/v1/inventory:0.24, /api/v1/logs:0.24, port:443:0.17, /api/v1/users:0.13, /api/v1/analytics:0.12",FirmwareOS 3.2|06:73:90:a3:ad:d8|MQTT,2026-07-15 18:20:41.991960
edg_297b8f46,edge_device,426,1.0,9.85,3.25,53.69,28.43,"/api/v1/orders:0.65, /api/v1/analytics:0.15, /api/v1/payments:0.12, /api/v1/config:0.09, /api/v1/auth:0.00",Windows 11|b4:b8:3d:e8:c0:2c|MQTT,2026-07-15 13:20:45.616837
edg_8aced230,edge_device,893,1.0,9.14,3.95,116.3,86.37,"port:8080:0.27, device_fn:firmware_update:0.22, device_fn:write_config:0.21, file://share/exec:0.12, /api/v1/config:0.08",Windows 11|5c:cf:12:2b:51:b0|MQTT,2026-07-15 15:13:17.293585
edg_fae3e1af,edge_device,814,1.0,20.1,5.15,20.09,6.09,"file://share/hr:0.42, port:22:0.16, file://share/public:0.15, /api/v1/inventory:0.13, file://share/engineering:0.09",FirmwareOS 3.2|4a:31:9b:06:3e:8d|MQTT,2026-07-15 23:58:48.000000
edg_396784b9,edge_device,627,1.0,17.91,5.7,45.53,13.69,"device_fn:reboot:0.33, port:22:0.24, /api/v1/inventory:0.18, /api/v1/billing:0.16, /api/v1/users:0.09",Ubuntu 22.04|2f:97:0c:7b:06:09|MQTT,2026-07-15 23:54:18.677158
use_a972ae5e,user,116,1.0,7.51,2.61,15.4,6.89,"/api/v1/reports:0.41, /api/v1/config:0.28, /api/v1/admin:0.16, /api/v1/inventory:0.15",Ubuntu 22.04|2d:d8:9e:2d:a6:69|TLS1.3,2026-07-13 10:17:38.770221
edg_eafb5269,edge_device,1699,1.0,19.35,3.1,222.24,109.26,"/api/v1/orders:0.46, /api/v1/payments:0.16, /api/v1/inventory:0.15, /api/v1/reports:0.11, file://share/hr:0.06",Ubuntu 22.04|71:72:63:bf:35:f9|MQTT,2026-07-15 23:58:48.000000
edg_09768c8c,edge_device,1736,1.0,16.52,1.64,16.58,5.67,"port:443:0.23, port:1883:0.19, /api/v1/auth:0.15, device_fn:read_sensor:0.13, port:3389:0.13",FirmwareOS 3.2|ed:6b:53:86:96:4e|MQTT,2026-07-15 18:27:09.693255
edg_1383bab9,edge_device,1719,1.0,18.54,3.12,119.91,127.03,"/api/v1/reports:0.27, port:8080:0.26, /api/v1/users:0.26, device_fn:reboot:0.21, /api/v1/auth:0.00",FirmwareOS 3.2|08:4a:41:3f:eb:8e|MQTT,2026-07-15 22:08:59.435936
use_664c0b91,user,177,1.0,7.43,2.54,27.35,20.1,"file://share/public:0.37, /api/v1/orders:0.28, /api/v1/admin:0.22, file://share/engineering:0.08, /api/v1/billing:0.02",macOS 14|fd:2b:a9:48:be:6b|TLS1.3,2026-07-15 11:19:40.984950
