session_id,entity_id,true_label,risk_score,explanation
s_0042896,use_3c1af223,credential_stuffing,1.0,flagged due to unusually short session (0.15 min) + authentication failed + 24 failed logins from this source in the last 5 min
s_0047331,use_5860bf1b,credential_stuffing,1.0,flagged due to unusually short session (0.11 min) + authentication failed + 2 failed logins from this source in the last 5 min
s_0033975,use_cde2e1f2,credential_stuffing,1.0,flagged due to unusually short session (0.05 min) + authentication failed + 17 failed logins from this source in the last 5 min
s_0042997,use_86a78d33,credential_stuffing,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 8 failed logins from this source in the last 5 min
s_0031424,use_20414d2d,credential_stuffing,1.0,flagged due to unusually short session (0.15 min) + authentication failed + 4 failed logins from this source in the last 5 min
s_0047334,edg_0bab71f3,credential_stuffing,1.0,flagged due to unusually short session (0.13 min) + authentication failed + 5 failed logins from this source in the last 5 min
s_0031431,use_cd1293b3,credential_stuffing,1.0,flagged due to unusually short session (0.06 min) + authentication failed + 11 failed logins from this source in the last 5 min
s_0042879,use_9a5ce521,credential_stuffing,1.0,flagged due to unusually short session (0.18 min) + authentication failed + 8 failed logins from this source in the last 5 min
s_0047251,use_6539fcbb,credential_stuffing,1.0,flagged due to unusually short session (0.10 min) + authentication failed + 4 failed logins from this source in the last 5 min
s_0043004,use_d8fbd568,credential_stuffing,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 15 failed logins from this source in the last 5 min
s_0031428,ser_73e3c2d8,credential_stuffing,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 7 failed logins from this source in the last 5 min
s_0043008,ser_5f1cba00,credential_stuffing,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 18 failed logins from this source in the last 5 min
s_0009763,edg_c064e769,credential_stuffing,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 8 failed logins from this source in the last 5 min
s_0033980,edg_49148f18,credential_stuffing,1.0,flagged due to unusually short session (0.18 min) + authentication failed + 22 failed logins from this source in the last 5 min
s_0031441,use_d3cac968,credential_stuffing,1.0,flagged due to unusually short session (0.07 min) + authentication failed + 19 failed logins from this source in the last 5 min
s_0033956,use_2b245550,credential_stuffing,1.0,flagged due to unusually short session (0.12 min) + authentication failed + 1 failed logins from this source in the last 5 min
s_0047267,use_2d962ccf,credential_stuffing,1.0,flagged due to unusually short session (0.13 min) + authentication failed + 18 failed logins from this source in the last 5 min
s_0027006,use_37400fc9,credential_stuffing,1.0,flagged due to unusually short session (0.11 min) + authentication failed + 29 failed logins from this source in the last 5 min
s_0042872,ser_94395cbb,credential_stuffing,1.0,flagged due to unusually short session (0.14 min) + authentication failed + 2 failed logins from this source in the last 5 min
s_0042894,edg_c445f2eb,credential_stuffing,1.0,flagged due to unusually short session (0.20 min) + authentication failed + 23 failed logins from this source in the last 5 min
s_0027335,use_5279c980,brute_force,1.0,flagged due to unusually short session (0.13 min) + authentication failed + 1 failed logins from this source in the last 5 min
s_0047272,edg_49148f18,credential_stuffing,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 23 failed logins from this source in the last 5 min
s_0031446,edg_34533018,credential_stuffing,1.0,flagged due to unusually short session (0.16 min) + authentication failed + 24 failed logins from this source in the last 5 min
s_0039309,use_b3eab9a6,credential_stuffing,1.0,flagged due to unusually short session (0.18 min) + authentication failed + 4 failed logins from this source in the last 5 min
s_0050612,use_d8fbd568,brute_force,1.0,flagged due to unusually short session (0.09 min) + authentication failed + 14 failed logins from this source in the last 5 min
